ENTRY DATE,WEEK ENDING,ORG CODE,PORT OF ORIGIN,DES CODE,DESTINATION,VESSEL NAME,SIZE,COMM CODE,COMMODITY,DATES,RATE,TERMS,CHARTER
10-Oct-19,12-Oct-19,1,Newport News,7,Vizagapatnam,STEAMER,75000,1,Coal,Nov 13/22,34.95,FIO;40000tSShex/20000tSShex,SAIL
10-Oct-19,12-Oct-19,2,Mobile,5,Rotterdam,"ELETTRA, 09",75000,1,Coal,Oct 25/30,16.85,FIO;25000tShinc/25000tShinc,TKSE
10-Oct-19,12-Oct-19,8,Dalrymple Bay,7,Vizagapatnam,STEAMER,75000,1,Coal,Nov 7/16,18.00,FIO;35000tSShex/20000tSShex,SAIL
10-Oct-19,12-Oct-19,4,Santos,9,China,STEAMER,65000,2,Hvy Grain,Oct 15/30,32.75,FIO;8000tsShex/8000tSshex,CNR
10-Oct-19,12-Oct-19,4,Tubarao,9,Qingdao,"SUNBEAM, 00",170000,5,Iron Ore,Oct 12/15,24.25,FIO;3DaysShinc/30000tShinc,Trafigura
10-Oct-19,12-Oct-19,5,Narvik,9,Qingdao,"STEAMER, (NYK)",150000,5,Iron Ore,Nov 5/19,26.75,FIO;2DaysShinc/30000tShinc,LKAB
10-Oct-19,12-Oct-19,8,Pt Dampier,9,Qingdao,"HEBEI LEGEND, 10",170000,5,Iron Ore,Oct 26/28,9.50,FIO;90000tShinc/30000tShinc,Rio Tinto
10-Oct-19,12-Oct-19,8,Pt Dampier,9,Qingdao,STEAMER,170000,5,Iron Ore,Oct 25/24,9.40,FIO;90000tShinc/30000tShinc,Rio Tinto
10-Oct-19,12-Oct-19,8,Pt Dampier,9,Qingdao,STEAMER,170000,5,Iron Ore,Oct 25/26,9.45,FIO;90000tShinc/30000tShinc,Rio Tinto
10-Oct-19,12-Oct-19,8,Pt Dampier,9,Qingdao,"STEAMER, (Marmaras)",170000,5,Iron Ore,Oct 21/22,9.50,FIO;90000t/30000tShinc,Rio Tinto
10-Oct-19,12-Oct-19,7,Oman,7,Karachi,STEAMER,40000,6,Urea,Oct 14/16,16.50,FIO;12000tFhinc/10000tShex,RCF
10-Oct-19,12-Oct-19,9,Del Donghae,9,Redel China,"SHAO SHAN 8, 14",75366,7,14k/35t,Oct 13/16,15000 Day,3196600GrnBl;CISRd,Tongli
10-Oct-19,12-Oct-19,9,Del Tianjin,8,Redel Philippines,"XIN HAI TONG 9, 15",48939,7,14k/31t,Oct 14/16,10000 Day,2188600GrnBl;TOViaCIS;Steel,CNR
10-Oct-19,12-Oct-19,4,Del Paranagua,5,Redel Continent,"BEATRICE, 19",39278,7,14k/30t,Oct 16/18,17000 Day,2501100GrnBl;TripOut;Agris,CNR
10-Oct-19,12-Oct-19,7,Del Richards Bay,7,Redel Sri Lanka,"IVS NORTHBERWICK, 16",60475,7,14.5k/31.5t,Oct 13/16,13250 Day,2694900GrnBl;TO+$325000Bonus,Oldendorff
10-Oct-19,12-Oct-19,7,Del Paradip,9,Redel China ViaECIndia,"IRON LADY V, 11",57295,7,13.5k/30.5t,Oct 11/13,12500 Day,2536300GrnBl;TO;IronOre,Bainbridge
10-Oct-19,12-Oct-19,7,Del Paradip,9,Redel China ViaECIndia,"MENALON, 11",57000,7,14k/34t,Oct 13/15,12500 Day,2528600GrnBl;TO;IronOre,CNR
10-Oct-19,12-Oct-19,9,Del Nantong,9,Redel Sing/Japan,"ANNE, 11",55568,7,14k/32.5t,Oct 13/15,12000 Day,2326270GrnBl;AusRd,CNR
